condition,experiment,speed,session_length,meta,seed,hmm_accuracy,total_pnl,sharpe,n_vetoes,n_retrains,detection_lag,acc_trending,acc_mean_reverting,acc_volatile,lag_trending_to_mean_rev,lag_trending_to_volatile,lag_mean_rev_to_trending,lag_mean_rev_to_volatile,lag_volatile_to_trending,lag_volatile_to_mean_rev,pnl_when_correct,pnl_when_incorrect,avg_pnl_correct,avg_pnl_incorrect,conf_at_transition,conf_at_stable
medium_nometa,speed_sweep,medium,300.0,False,342259691,0.8987,1924.0,0.2154,37,0,1.14,1.0,0.6667,1.0,2.0,1.0,0.0,1.0,1.0,1.0,558.0,1366.0,16.41,170.75,0.9969,0.9986
very_fast_nometa,speed_sweep,very_fast,300.0,False,1222640508,0.8228,2266.0,0.1805,45,0,1.17,0.84,0.6667,1.0,1.25,1.0,1.333,1.0,1.0,1.333,2266.0,0.0,107.9,0.0,0.9875,0.9837
very_fast_nometa,speed_sweep,very_fast,300.0,False,883890842,0.8101,1808.0,0.2098,41,0,1.15,0.7812,0.5789,1.0,1.0,1.0,1.333,1.0,1.333,1.5,1136.0,672.0,47.33,48.0,0.9931,0.9949
fast_meta,speed_sweep,fast,300.0,True,866561925,0.8861,2064.0,0.2222,33,0,1.24,0.8788,0.7222,1.0,1.0,1.0,1.0,1.0,1.75,2.0,1422.0,642.0,38.43,71.33,0.9905,0.9935
very_fast_meta,speed_sweep,very_fast,300.0,True,533027698,0.7975,2006.0,0.2427,48,0,1.11,0.8148,0.6333,1.0,1.222,1.0,1.0,1.0,1.5,1.0,1458.0,548.0,97.2,34.25,0.9971,0.9966
very_fast_meta,speed_sweep,very_fast,300.0,True,967432517,0.6709,1900.0,0.2153,43,0,1.26,0.6667,0.4074,1.0,1.333,1.0,1.143,1.0,1.75,1.667,1040.0,860.0,49.52,57.33,0.9788,0.9493
medium_meta,speed_sweep,medium,300.0,True,1981238120,0.4684,2238.0,0.2175,33,5,1.33,0.6452,0.1071,0.7,2.0,0.0,1.0,2.0,1.0,0.0,2238.0,0.0,101.73,0.0,0.9932,0.9689
slow_nometa,speed_sweep,slow,300.0,False,240721630,0.6962,1890.0,0.2284,43,0,1.0,0.5161,0.7188,1.0,0.0,1.0,1.0,0.0,0.0,1.0,744.0,1146.0,43.76,60.32,0.9994,0.9293
very_fast_nometa,speed_sweep,very_fast,300.0,False,1095930426,0.6835,2038.0,0.2215,52,0,1.28,0.3333,0.6087,1.0,1.0,1.0,0.0,1.0,2.0,1.6,1050.0,988.0,105.0,58.12,0.9627,0.9644
very_fast_nometa,speed_sweep,very_fast,300.0,False,398499362,0.7595,2218.0,0.2275,45,0,1.24,0.5926,0.6667,1.0,1.0,1.0,1.571,1.0,1.5,1.5,1648.0,570.0,109.87,30.0,0.9921,0.9867
fast_nometa,speed_sweep,fast,300.0,False,1249783968,0.8608,2008.0,0.2419,42,0,1.14,0.8,0.6957,1.0,1.0,1.0,1.0,1.0,1.333,1.5,1378.0,630.0,53.0,57.27,0.9981,0.9925
sesslen_300,session_sweep,medium,300.0,False,221089177,0.8481,2446.0,0.2357,36,0,1.43,0.75,0.7368,1.0,2.0,1.0,1.5,1.0,2.0,1.0,1556.0,890.0,48.62,80.91,0.9947,0.9764
slow_meta,speed_sweep,slow,300.0,True,1328501175,0.7848,2140.0,0.2266,30,0,1.25,0.725,0.75,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1510.0,630.0,44.41,42.0,0.9995,0.965
slow_meta,speed_sweep,slow,300.0,True,776877292,0.7595,2187.0,0.1972,33,0,1.75,0.7556,0.7647,0.7647,1.0,2.0,2.0,0.0,2.0,0.0,691.0,1496.0,23.03,93.5,0.9819,0.9831
sesslen_300,session_sweep,medium,300.0,False,104968039,0.7975,1966.0,0.1966,36,0,1.14,0.6471,0.7333,1.0,0.0,1.0,1.0,0.0,0.0,1.5,582.0,1384.0,20.79,92.27,1.0,0.984
slow_nometa,speed_sweep,slow,300.0,False,572658800,0.9873,1504.0,0.1952,30,0,1.33,0.9677,0.0,1.0,0.0,1.0,0.0,0.0,1.5,0.0,1504.0,0.0,31.33,0.0,0.9999,0.9939
sesslen_300,session_sweep,medium,300.0,False,2054458580,0.7595,2602.0,0.2252,33,0,1.29,0.9655,0.5714,0.6667,0.0,1.5,1.0,0.0,1.0,1.5,1584.0,1018.0,52.8,63.62,0.8906,0.9421
slow_nometa,speed_sweep,slow,300.0,False,834027594,0.7722,2078.0,0.1972,38,0,1.25,0.7143,0.75,1.0,1.5,0.0,0.0,1.0,1.0,0.0,650.0,1428.0,28.26,79.33,0.9999,0.9942
very_fast_nometa,speed_sweep,very_fast,300.0,False,398974074,0.8101,2164.0,0.236,44,0,1.16,0.7368,0.6429,1.0,1.0,1.0,1.333,1.0,1.0,1.571,1566.0,598.0,74.57,42.71,0.9869,0.9971
sesslen_60,session_sweep,medium,60.0,False,1291814731,0.5696,2090.0,0.2157,48,0,2.62,0.2,0.6333,0.875,2.0,1.0,3.0,1.0,8.0,1.0,930.0,1160.0,71.54,64.44,0.9458,0.9663
very_fast_meta,speed_sweep,very_fast,300.0,True,477094089,0.6835,1918.0,0.2204,43,0,1.24,0.7037,0.6061,0.7895,1.111,1.0,1.4,1.4,1.0,1.333,1026.0,892.0,60.35,46.95,0.9969,0.9458
fast_meta,speed_sweep,fast,300.0,True,1445694431,0.8608,2504.0,0.2302,37,0,1.4,1.0,0.6667,0.9655,1.0,1.0,1.0,1.0,1.0,3.0,1870.0,634.0,60.32,57.64,0.9969,0.9893
